%   l    n    nu(microHz)   sigma(microHz)
   l    n    nu            sigma
   94    7   3096.7825      0.0110
   94    8   3322.6609      0.0149
   94    9   3543.4900      0.0338
   94   10   3759.9963      0.0806
   94   11   3972.1541      0.2143
   95    0    990.4305      0.1532
   95    1   1461.7032      0.0032
   95    2   1809.5374      0.0069
   95    3   2105.7053      0.0113
   95    4   2378.8403      0.0108
   95    5   2630.1021      0.0120
   95    6   2873.9851      0.0099
   95    7   3108.6880      0.0083
   95    8   3335.3516      0.0171
   95    9   3556.9888      0.0325
   95   10   3774.1233      0.0850
   95   11   3987.3821      0.3134
   96    0    995.5347      0.1239
   96    1   1468.1923      0.0028
   96    2   1816.5197      0.0078
   96    3   2114.0366      0.0103
   96    4   2387.8953      0.0126
   96    5   2640.1426      0.0138
   96    6   2885.0813      0.0102
   96    7   3120.4761      0.0101
   96    8   3347.9729      0.0148
   96    9   3570.4851      0.0323
   96   10   3788.4055      0.1092
   96   11   4002.0959      0.2075
   97    0   1000.8113      0.0280
   97    1   1474.6445      0.0028
   97    2   1823.4608      0.0058
   97    3   2122.3062      0.0114
   97    4   2396.8540      0.0119
   97    5   2650.1274      0.0132
   97    6   2896.1025      0.0115
   97    7   3132.2559      0.0109
   97    8   3360.5745      0.0156
   97    9   3583.9456      0.0368
   97   10   3802.6475      0.1180
   98    0   1005.6980      0.0979
   98    1   1481.0518      0.0032
   98    2   1830.3695      0.0075
   98    3   2130.5410      0.0094
   98    4   2405.8086      0.0123
   98    5   2660.0415      0.0127
   98    6   2906.9580      0.0123
   98    7   3143.9377      0.0101
   98    8   3373.0745      0.0184
   98    9   3597.2410      0.0424
   98   10   3816.5193      0.1130
   99    1   1487.4150      0.0031
   99    2   1837.2122      0.0066
   99    3   2138.7483      0.0104
   99    4   2414.6760      0.0127
   99    5   2669.9578      0.0098
   99    6   2917.8625      0.0111
   99    7   3155.5779      0.0151
   99    8   3385.5466      0.0192
   99    9   3610.5105      0.0449
   99   10   3830.4583      0.1358
  100    0   1015.7129      0.0602
  100    1   1493.7372      0.0035
  100    2   1843.9971      0.0080
  100    3   2146.8994      0.0124
  100    4   2423.4861      0.0122
  100    5   2679.8257      0.0119
  100    6   2928.7000      0.0101
  100    7   3167.1768      0.0109
  100    8   3398.0273      0.0201
  100    9   3623.6443      0.0498
  100   10   3844.3274      0.1447
  101    0   1020.5294      0.0524
  101    1   1500.0269      0.0032
  101    2   1850.7426      0.0086
  101    3   2154.9546      0.0081
  101    4   2432.2319      0.0161
  101    5   2689.6338      0.0106
  101    6   2939.4475      0.0106
  101    7   3178.6960      0.0115
  101    8   3410.3391      0.0232
  101    9   3636.8318      0.0599
  101   10   3858.3232      0.2554
  102    1   1506.2433      0.0040
  102    2   1857.4650      0.0077
  102    3   2162.9771      0.0119
  102    4   2440.8911      0.0154
  102    5   2699.3516      0.0118
  102    6   2950.1096      0.0105
  102    7   3190.1521      0.0127
  102    8   3422.5955      0.0255
  102    9   3649.8320      0.0611
  102   10   3872.3840      0.4998
  103    1   1512.4332      0.0037
  103    2   1864.0914      0.0069
  103    3   2170.9846      0.0110
  103    4   2449.5513      0.0159
  103    5   2709.0798      0.0130
  103    6   2960.7424      0.0105
  103    7   3201.5305      0.0140
  103    8   3434.8477      0.0216
  103    9   3662.9399      0.0615
  103   10   3885.8376      0.2027
  104    1   1518.5930      0.0042
  104    2   1870.6783      0.0059
  104    3   2178.8914      0.0085
  104    4   2458.1284      0.0147
  104    5   2718.7761      0.0126
  104    6   2971.2871      0.0082
  104    7   3212.8408      0.0131
  104    8   3447.0364      0.0223
  104    9   3675.9438      0.0810
  104   10   3899.6194      0.1486
  105    0   1039.9653      0.0583
  105    1   1524.7104      0.0049
  105    2   1877.2660      0.0068
  105    3   2186.7773      0.0114
  105    4   2466.6714      0.0133
  105    5   2728.3655      0.0125
  105    6   2981.8350      0.0094
  105    7   3224.1433      0.0132
  105    8   3459.1582      0.0226
  105    9   3688.9360      0.0748
  105   10   3912.9783      0.2183
  106    1   1530.7815      0.0039
  106    2   1883.7916      0.0079
  106    3   2194.5996      0.0128
  106    4   2475.1047      0.0156
  106    5   2737.9407      0.0124
  106    6   2992.2632      0.0108
  106    7   3235.3848      0.0116
  106    8   3471.2393      0.0241
  106    9   3701.5095      0.0669
  106   10   3926.4585      0.1976
  107    1   1536.7854      0.0045
  107    2   1890.2651      0.0069
  107    3   2202.3303      0.0102
  107    4   2483.5186      0.0145
  107    5   2747.4712      0.0128
  107    6   3002.6709      0.0109
  107    7   3246.5737      0.0138
  107    8   3483.2988      0.0301
  107    9   3714.3293      0.0923
  108    0   1054.3463      0.0641
  108    1   1542.7916      0.0046
  108    2   1896.7314      0.0087
  108    3   2210.0398      0.0137
  108    4   2491.8894      0.0130
  108    5   2756.9438      0.0114
  108    6   3012.9761      0.0115
  108    7   3257.6479      0.0155
  108    8   3495.2214      0.0295
  108    9   3727.0769      0.1086
  109    1   1548.7443      0.0041
  109    2   1903.1390      0.0090
  109    3   2217.7117      0.0135
  109    4   2500.2578      0.0165
  109    5   2766.3674      0.0129
  109    6   3023.2744      0.0113
  109    7   3268.7017      0.0169
  109    8   3507.0972      0.0332
  109    9   3739.6895      0.0906
  110    0   1063.9220      0.0461
  110    1   1554.6610      0.0065
  110    2   1909.5093      0.0085
  110    3   2225.3279      0.0138
  110    4   2508.5237      0.0137
  110    5   2775.7732      0.0122
  110    6   3033.4893      0.0112
  110    7   3279.7288      0.0179
  110    8   3518.9866      0.0383
  110    9   3752.3347      0.1028
  111    0   1068.5735      0.0427
  111    1   1560.5261      0.0041
  111    2   1915.8337      0.0097
  111    3   2232.8469      0.0126
  111    4   2516.7759      0.0194
  111    5   2785.1521      0.0101
  111    6   3043.6704      0.0116
  111    7   3290.7263      0.0148
  111    8   3530.7651      0.0319
  111    9   3764.8679      0.1457
  112    0   1073.2972      0.0517
  112    1   1566.3490      0.0059
  112    2   1922.1692      0.0102
  112    3   2240.4146      0.0142
  112    4   2524.9753      0.0147
  112    5   2794.3999      0.0139
  112    6   3053.7827      0.0120
  112    7   3301.5808      0.0177
  112    8   3542.5884      0.0424
  112    9   3777.3406      0.1391
  113    0   1077.9340      0.0429
  113    1   1572.1499      0.0051
  113    2   1928.4539      0.0093
  113    3   2247.9124      0.0161
  113    4   2533.0720      0.0160
  113    5   2803.7117      0.0140
  113    6   3063.8931      0.0108
  113    7   3312.4883      0.0190
  113    8   3554.2180      0.0437
  113    9   3789.7822      0.1530
  114    0   1082.5713      0.0450
  114    1   1577.9164      0.0057
  114    2   1934.6710      0.0082
  114    3   2255.2952      0.0128
  114    4   2541.2056      0.0138
  114    5   2812.8975      0.0127
  114    6   3073.8711      0.0122
  114    7   3323.3550      0.0184
  114    8   3565.8552      0.0535
  114    9   3802.0398      0.1814
  115    0   1087.2056      0.0510
  115    1   1583.6215      0.0047
  115    2   1940.8483      0.0097
  115    3   2262.6494      0.0139
  115    4   2549.2522      0.0200
  115    5   2822.0547      0.0129
  115    6   3083.8130      0.0159
  115    7   3334.0623      0.0191
  115    8   3577.4258      0.0595
  115    9   3814.3457      0.1799
  116    0   1091.8787      0.0456
  116    1   1589.2866      0.0045
  116    2   1947.0400      0.0081
  116    3   2269.9524      0.0157
  116    4   2557.2896      0.0183
  116    5   2831.1995      0.0114
  116    6   3093.7241      0.0117
  116    7   3344.8105      0.0187
  116    8   3589.0752      0.0538
  116    9   3826.7427      0.2516
  117    0   1096.4008      0.0399
  117    1   1594.9381      0.0052
  117    2   1953.1925      0.0091
  117    3   2277.2202      0.0136
  117    4   2565.2803      0.0161
  117    5   2840.2688      0.0144
  117    6   3103.5928      0.0116
  117    7   3355.5212      0.0245
  117    8   3600.5039      0.0579
  117    9   3838.9695      0.2721
  118    0   1101.0167      0.0355
  118    1   1600.5475      0.0054
  118    2   1959.3126      0.0098
  118    3   2284.4412      0.0191
  118    4   2573.2454      0.0201
  118    5   2849.3420      0.0138
  118    6   3113.3979      0.0138
  118    7   3366.1372      0.0253
  118    8   3611.8083      0.0668
  118    9   3851.3423      0.2539
  119    1   1606.1309      0.0073
  119    2   1965.3896      0.0095
  119    3   2291.6228      0.0136
  119    4   2581.1626      0.0149
  119    5   2858.3579      0.0145
  119    6   3123.1736      0.0145
  119    7   3376.7551      0.0314
  119    8   3623.2805      0.0685
  119    9   3863.1711      0.2799
  120    0   1110.0933      0.0322
  120    1   1611.6462      0.0061
  120    2   1971.4452      0.0145
  120    3   2298.7544      0.0179
  120    4   2589.0566      0.0157
  120    5   2867.2817      0.0112
  120    6   3132.8738      0.0134
  120    7   3387.2468      0.0270
  120    8   3634.6777      0.0668
  120    9   3875.1897      0.1871
  121    0   1114.6321      0.0246
  121    1   1617.1664      0.0066
  121    2   1977.4945      0.0099
  121    3   2305.8479      0.0140
  121    4   2596.9097      0.0155
  121    5   2876.1943      0.0138
  121    6   3142.5125      0.0114
  121    7   3397.7883      0.0251
  121    8   3645.8208      0.0821
  122    0   1119.1036      0.0291
  122    1   1622.6199      0.0054
  122    2   1983.5092      0.0109
  122    3   2312.8374      0.0169
  122    4   2604.7083      0.0210
  122    5   2885.0840      0.0144
  122    6   3152.1716      0.0119
  122    7   3408.2351      0.0253
  122    8   3657.2297      0.0765
  123    0   1123.6158      0.0249
  123    1   1628.0466      0.0056
  123    2   1989.4880      0.0113
  123    3   2319.7891      0.0198
  123    4   2612.4622      0.0216
  123    5   2893.8794      0.0141
  123    6   3161.7571      0.0186
  123    7   3418.6475      0.0334
  123    8   3668.3892      0.0962
  124    0   1128.0208      0.0216
  124    1   1633.4507      0.0062
  124    2   1995.4172      0.0145
  124    3   2326.7810      0.0166
  124    4   2620.2097      0.0187
  124    5   2902.6519      0.0149
  124    6   3171.2356      0.0162
  124    7   3428.9929      0.0301
  124    8   3679.5173      0.1197
  125    0   1132.4836      0.0208
  125    1   1638.7987      0.0069
  125    2   2001.3590      0.0140
  125    3   2333.6223      0.0166
  125    4   2627.9805      0.0175
  125    5   2911.4255      0.0176
  125    6   3180.7734      0.0177
  125    7   3439.3032      0.0340
  125    8   3690.9072      0.1162
  126    0   1136.9163      0.0176
  126    1   1644.1299      0.0066
  126    2   2007.2711      0.0100
  126    3   2340.4788      0.0173
  126    4   2635.6343      0.0156
  126    5   2920.0947      0.0149
  126    6   3190.2429      0.0145
  126    7   3449.5615      0.0331
  126    8   3701.7019      0.1363
  127    0   1141.2688      0.0193
  127    1   1649.4098      0.0060
  127    2   2013.1533      0.0126
  127    3   2347.2664      0.0212
  127    4   2643.3286      0.0220
  127    5   2928.7832      0.0135
  127    6   3199.6558      0.0195
  127    7   3459.8777      0.0381
  127    8   3712.9209      0.1545
  128    0   1145.6749      0.0227
  128    1   1654.6848      0.0071
  128    2   2019.0189      0.0118
  128    3   2354.0078      0.0191
  128    4   2650.8960      0.0169
  128    5   2937.3826      0.0136
  128    6   3208.9033      0.0189
  128    7   3470.0503      0.0493
  128    8   3723.7009      0.1236
  129    0   1150.0822      0.0197
  129    1   1659.9135      0.0059
  129    2   2024.8342      0.0122
  129    3   2360.7686      0.0190
  129    4   2658.5498      0.0171
  129    5   2945.9709      0.0177
  129    6   3218.2698      0.0196
  129    7   3480.3325      0.0442
  129    8   3734.8362      0.1540
  130    0   1154.4460      0.0158
  130    1   1665.1099      0.0070
  130    2   2030.6553      0.0125
  130    3   2367.3879      0.0208
  130    4   2666.0620      0.0155
  130    5   2954.4807      0.0142
  130    6   3227.5564      0.0221
  130    7   3490.4961      0.0427
  130    8   3745.5049      0.1710
  131    0   1158.7743      0.0170
  131    1   1670.2715      0.0066
  131    2   2036.3975      0.0122
  131    3   2374.0476      0.0239
  131    4   2673.6162      0.0198
  131    5   2962.9646      0.0162
  131    6   3236.7935      0.0186
  131    7   3500.4495      0.0540
  131    8   3756.3540      0.2919
  132    0   1163.0543      0.0156
  132    1   1675.4207      0.0086
  132    2   2042.1664      0.0152
  132    3   2380.6052      0.0198
  132    4   2681.1204      0.0180
  132    5   2971.4045      0.0173
  132    6   3246.0396      0.0209
  132    7   3510.4858      0.0517
  133    0   1167.3870      0.0143
  133    1   1680.5033      0.0074
  133    2   2047.9218      0.0153
  133    3   2387.1377      0.0183
  133    4   2688.6196      0.0204
  133    5   2979.8159      0.0177
  133    6   3255.1729      0.0213
  133    7   3520.4944      0.0679
  134    0   1171.6982      0.0120
  134    1   1685.5719      0.0071
  134    2   2053.6897      0.0132
  134    3   2393.6819      0.0237
  134    4   2696.0605      0.0185
  134    5   2988.1909      0.0179
  134    6   3264.3437      0.0253
  134    7   3530.4565      0.0589
  135    0   1175.9546      0.0138
  135    1   1690.6396      0.0087
  135    2   2059.3545      0.0173
  135    3   2400.1111      0.0277
  135    4   2703.5139      0.0241
  135    5   2996.4795      0.0129
  135    6   3273.3513      0.0214
  135    7   3540.4248      0.0780
  136    0   1180.2493      0.0122
  136    1   1695.6449      0.0074
  136    2   2065.0515      0.0131
  136    3   2406.5828      0.0232
  136    4   2710.9153      0.0242
  136    5   3004.8008      0.0156
  136    6   3282.4822      0.0235
  136    7   3550.4458      0.0691
  137    0   1184.4965      0.0092
  137    1   1700.6132      0.0066
  137    2   2070.7095      0.0182
  137    3   2412.9731      0.0259
  137    4   2718.2610      0.0211
  137    5   3013.0398      0.0168
  137    6   3291.4819      0.0302
  137    7   3560.1890      0.0832
  138    0   1188.6815      0.0106
  138    1   1705.5652      0.0089
  138    2   2076.3501      0.0153
  138    3   2419.2939      0.0247
  138    4   2725.6038      0.0196
  138    5   3021.2512      0.0189
  138    6   3300.4036      0.0283
  138    7   3570.0525      0.0982
  139    0   1192.9188      0.0064
  139    1   1710.4775      0.0082
  139    2   2081.9683      0.0142
  139    3   2425.5967      0.0203
  139    4   2732.9409      0.0183
  139    5   3029.4805      0.0191
  139    6   3309.4346      0.0284
  139    7   3579.7976      0.1114
  140    0   1197.1075      0.0065
  140    1   1715.3671      0.0105
  140    2   2087.6099      0.0135
  140    3   2431.9170      0.0270
  140    4   2740.2351      0.0217
  140    5   3037.5593      0.0190
  140    6   3318.3528      0.0261
  140    7   3589.5393      0.1103
  141    0   1201.2825      0.0066
  141    1   1720.2406      0.0080
  141    2   2093.2009      0.0165
  141    3   2438.1130      0.0324
  141    4   2747.4783      0.0201
  141    5   3045.6484      0.0184
  141    6   3327.2383      0.0268
  141    7   3599.0732      0.1256
  142    0   1205.4595      0.0079
  142    1   1725.0563      0.0101
  142    2   2098.7529      0.0183
  142    3   2444.2725      0.0209
  142    4   2754.7151      0.0198
  142    5   3053.7241      0.0193
  142    6   3336.0837      0.0359
  142    7   3608.9319      0.1081
  143    0   1209.6041      0.0053
  143    1   1729.9104      0.0091
  143    2   2104.2925      0.0160
  143    3   2450.4802      0.0281
  143    4   2761.9512      0.0238
  143    5   3061.7671      0.0180
  143    6   3344.8718      0.0366
  143    7   3618.6589      0.1346
  144    0   1213.7354      0.0053
  144    1   1734.6685      0.0110
  144    2   2109.8047      0.0191
  144    3   2456.6399      0.0297
  144    4   2769.1228      0.0239
  144    5   3069.7346      0.0187
  144    6   3353.6990      0.0365
  144    7   3628.2295      0.1478
  145    0   1217.8696      0.0047
  145    1   1739.3925      0.0088
  145    2   2115.3179      0.0168
  145    3   2462.7278      0.0301
  145    4   2776.2925      0.0200
  145    5   3077.7263      0.0201
  145    6   3362.5186      0.0409
  145    7   3637.7688      0.1485
  146    0   1221.9902      0.0034
  146    1   1744.1368      0.0106
  146    2   2120.8350      0.0180
  146    3   2468.8320      0.0262
  146    4   2783.3872      0.0255
  146    5   3085.6309      0.0196
  146    6   3371.1511      0.0426
  146    7   3647.1936      0.1847
  147    0   1226.0844      0.0039
  147    1   1748.8293      0.0096
  147    2   2126.3396      0.0201
  147    3   2474.8796      0.0294
  147    4   2790.5125      0.0225
  147    5   3093.5818      0.0206
  147    6   3379.8345      0.0388
  147    7   3656.8540      0.2021
  148    0   1230.1753      0.0035
  148    1   1753.4886      0.0083
  148    2   2131.7588      0.0176
  148    3   2480.8848      0.0236
  148    4   2797.6147      0.0193
  148    5   3101.3660      0.0180
  148    6   3388.4497      0.0481
  148    7   3666.0029      0.1642
  149    0   1234.2533      0.0040
  149    1   1758.1534      0.0084
  149    2   2137.2202      0.0232
  149    3   2486.8523      0.0358
  149    4   2804.6626      0.0209
  149    5   3109.1885      0.0231
  149    6   3397.1284      0.0515
  149    7   3675.5051      0.2596
  150    0   1238.3004      0.0038
  150    1   1762.7804      0.0080
  150    2   2142.6152      0.0233
  150    3   2492.7898      0.0316
  150    4   2811.6787      0.0205
  150    5   3116.9692      0.0225
  150    6   3405.6887      0.0408
  150    7   3684.7874      0.1755
  151    0   1242.3308      0.0035
  151    1   1767.3717      0.0100
  151    2   2148.0735      0.0259
  151    3   2498.6863      0.0330
  151    4   2818.7017      0.0229
  151    5   3124.6958      0.0202
  151    6   3414.3687      0.0531
  151    7   3694.2151      0.2448
  152    0   1246.3785      0.0038
  152    1   1771.9482      0.0095
  152    2   2153.4490      0.0188
  152    3   2504.6257      0.0284
  152    4   2825.7063      0.0212
  152    5   3132.4136      0.0228
  152    6   3422.8298      0.0606
  152    7   3703.8267      0.2634
  153    0   1250.4008      0.0033
  153    1   1776.4789      0.0110
  153    2   2158.7646      0.0240
  153    3   2510.5376      0.0388
  153    4   2832.6042      0.0272
  153    5   3140.1577      0.0288
  153    6   3431.3127      0.0581
  154    0   1254.3905      0.0031
  154    1   1781.0087      0.0129
  154    2   2164.1655      0.0222
  154    3   2516.3000      0.0417
  154    4   2839.5654      0.0248
  154    5   3147.7676      0.0253
  154    6   3439.7097      0.0629
  155    0   1258.3835      0.0033
  155    1   1785.4880      0.0103
  155    2   2169.4917      0.0233
  155    3   2522.1758      0.0355
  155    4   2846.4204      0.0263
  155    5   3155.3555      0.0286
  155    6   3448.3799      0.0701
  156    0   1262.3503      0.0041
  156    1   1789.9890      0.0133
  156    2   2174.7778      0.0186
  156    3   2527.9082      0.0343
  156    4   2853.3315      0.0236
  156    5   3163.0046      0.0280
  156    6   3456.7759      0.0719
  157    0   1266.3269      0.0038
  157    1   1794.4268      0.0136
  157    2   2180.0952      0.0288
  157    3   2533.6450      0.0381
  157    4   2860.1775      0.0226
  157    5   3170.5432      0.0299
  157    6   3465.0586      0.0808
  158    0   1270.2748      0.0038
  158    1   1798.8584      0.0128
  158    2   2185.3801      0.0245
  158    3   2539.4285      0.0443
  158    4   2866.9802      0.0276
  158    5   3178.0723      0.0296
  158    6   3473.4922      0.0717
  159    0   1274.2286      0.0046
  159    1   1803.2329      0.0105
  159    2   2190.6543      0.0304
  159    3   2545.1426      0.0453
  159    4   2873.8315      0.0265
  159    5   3185.6194      0.0262
  159    6   3481.9714      0.0916
  160    0   1278.1469      0.0042
  160    1   1807.6226      0.0129
  160    2   2195.9246      0.0284
  160    3   2550.8425      0.0460
  160    4   2880.6072      0.0269
  160    5   3193.0891      0.0312
  160    6   3490.0750      0.1137
  161    0   1282.0588      0.0029
  161    1   1811.9840      0.0103
  161    2   2201.1221      0.0296
  161    3   2556.5410      0.0436
  161    4   2887.2991      0.0307
  161    5   3200.5537      0.0281
  161    6   3498.4900      0.1332
  162    0   1285.9635      0.0024
  162    1   1816.3738      0.0121
  162    2   2206.3584      0.0277
  162    3   2562.1748      0.0415
  162    4   2894.0334      0.0271
  162    5   3207.8940      0.0377
  162    6   3506.7070      0.0838
  163    0   1289.8595      0.0032
  163    1   1820.6512      0.0134
  163    2   2211.5522      0.0326
  163    3   2567.7473      0.0429
  163    4   2900.7192      0.0302
  163    5   3215.3596      0.0342
  163    6   3514.8760      0.0900
  164    0   1293.7509      0.0035
  164    1   1824.9208      0.0143
  164    2   2216.7268      0.0308
  164    3   2573.3789      0.0461
  164    4   2907.3828      0.0282
  164    5   3222.6809      0.0340
  164    6   3523.2136      0.1182
  165    0   1297.6057      0.0029
  165    1   1829.2024      0.0126
  165    2   2221.8894      0.0235
  165    3   2578.9751      0.0429
  165    4   2913.9973      0.0269
  165    5   3230.0537      0.0380
  165    6   3531.4492      0.1570
  166    0   1301.4689      0.0028
  166    1   1833.4098      0.0116
  166    2   2226.9990      0.0330
  166    3   2584.5901      0.0455
  166    4   2920.7146      0.0326
  166    5   3237.4138      0.0487
  166    6   3539.4500      0.1402
  167    0   1305.3160      0.0031
  167    1   1837.6675      0.0122
  167    2   2232.1338      0.0227
  167    3   2590.0591      0.0402
  167    4   2927.2168      0.0361
  167    5   3244.6880      0.0495
  167    6   3547.5432      0.1115
  168    0   1309.1396      0.0034
  168    1   1841.8890      0.0115
  168    2   2237.2622      0.0278
  168    3   2595.5486      0.0394
  168    4   2933.8005      0.0321
  168    5   3251.8750      0.0433
  168    6   3555.8242      0.1474
  169    0   1312.9722      0.0044
  169    1   1846.0773      0.0149
  169    2   2242.3223      0.0278
  169    3   2601.0430      0.0425
  169    4   2940.3442      0.0321
  169    5   3259.1348      0.0433
  170    0   1316.7860      0.0038
  170    1   1850.2053      0.0138
  170    2   2247.4199      0.0406
  170    3   2606.6023      0.0459
  170    4   2946.8738      0.0314
  170    5   3266.4653      0.0435
  170    6   3571.8640      0.2128
  171    0   1320.5771      0.0039
  171    1   1854.3625      0.0128
  171    2   2252.5129      0.0335
  171    3   2612.1094      0.0478
  171    4   2953.3804      0.0322
  171    5   3273.4895      0.0454
  171    6   3579.9946      0.2136
  172    0   1324.3628      0.0035
  172    1   1858.5300      0.0155
  172    2   2257.5012      0.0369
  172    3   2617.5012      0.0551
  172    4   2959.8171      0.0307
  172    5   3280.7146      0.0554
  172    6   3587.7839      0.1758
  173    0   1328.1348      0.0045
  173    1   1862.6041      0.0134
  173    2   2262.5388      0.0327
  173    3   2622.9805      0.0455
  173    4   2966.2852      0.0307
  173    5   3287.9236      0.0471
  173    6   3596.2163      0.2298
  174    0   1331.9171      0.0034
  174    1   1866.6975      0.0149
  174    2   2267.6460      0.0321
  174    3   2628.3799      0.0565
  174    4   2972.6682      0.0365
  174    5   3295.0154      0.0630
  175    0   1335.6732      0.0037
  175    1   1870.7579      0.0158
  175    2   2272.4985      0.0476
  175    3   2633.7727      0.0589
  175    4   2979.0659      0.0335
  175    5   3302.1262      0.0503
  176    0   1339.4207      0.0036
  176    1   1874.8020      0.0159
  176    2   2277.5208      0.0325
  176    3   2639.1809      0.0481
  176    4   2985.4485      0.0363
  176    5   3309.1567      0.0585
  177    0   1343.1440      0.0041
  177    1   1878.8195      0.0161
  177    2   2282.4446      0.0373
  177    3   2644.4995      0.0464
  177    4   2991.8015      0.0359
  177    5   3316.1167      0.0645
  178    0   1346.8790      0.0050
  178    1   1882.8583      0.0174
  178    2   2287.3855      0.0404
  178    3   2649.8865      0.0588
  178    4   2998.0886      0.0317
  178    5   3323.2080      0.0598
  179    0   1350.5967      0.0039
  179    1   1886.8634      0.0163
  179    2   2292.3210      0.0468
  179    3   2655.3237      0.0475
  179    4   3004.4578      0.0453
  179    5   3330.3293      0.0464
  180    0   1354.2959      0.0041
  180    1   1890.8427      0.0185
  180    2   2297.2654      0.0444
  180    3   2660.6106      0.0626
  180    4   3010.6860      0.0423
  180    5   3337.2827      0.0784
  181    0   1357.9811      0.0040
  181    1   1894.8003      0.0175
  181    2   2302.1765      0.0554
  181    3   2665.9983      0.0517
  181    4   3016.9370      0.0332
  181    5   3344.2598      0.0872
  182    0   1361.6798      0.0042
  182    1   1898.7687      0.0179
  182    2   2306.9512      0.0439
  182    3   2671.2439      0.0706
  182    4   3023.0872      0.0368
  182    5   3351.1646      0.0779
  183    0   1365.3318      0.0035
  183    1   1902.6642      0.0211
  183    2   2311.9355      0.0380
  183    3   2676.5671      0.0666
  183    4   3029.3979      0.0442
  183    5   3358.1465      0.0796
  184    0   1368.9895      0.0040
  184    1   1906.5980      0.0238
  184    2   2316.7717      0.0447
  184    3   2681.8333      0.0612
  184    4   3035.5051      0.0344
  184    5   3364.9988      0.1028
  185    0   1372.6639      0.0040
  185    1   1910.4818      0.0199
  185    2   2321.5022      0.0540
  185    3   2687.1780      0.0568
  185    4   3041.6318      0.0443
  185    5   3372.0835      0.1004
  186    0   1376.3092      0.0043
  186    1   1914.3148      0.0184
  186    2   2326.4514      0.0571
  186    3   2692.2910      0.0614
  186    4   3047.8152      0.0378
  186    5   3378.8054      0.1086
  187    0   1379.9370      0.0042
  187    1   1918.2083      0.0255
  187    2   2331.0935      0.0575
  187    3   2697.6689      0.0609
  187    4   3053.9294      0.0369
  187    5   3385.6372      0.1131
  188    0   1383.5627      0.0047
  188    1   1922.0658      0.0263
  188    2   2335.9392      0.0473
  188    3   2702.8545      0.0706
  188    4   3059.9692      0.0383
  188    5   3392.4258      0.1079
  189    0   1387.1873      0.0043
  189    1   1925.8959      0.0222
  189    2   2340.6541      0.0546
  189    3   2708.1238      0.0785
  189    4   3066.0742      0.0360
  189    5   3399.2944      0.1921
  190    0   1390.7802      0.0055
  190    1   1929.6899      0.0216
  190    2   2345.3567      0.0526
  190    3   2713.2285      0.0656
  190    4   3072.0942      0.0509
  190    5   3405.8401      0.1134
  191    0   1394.3904      0.0039
  191    1   1933.4677      0.0256
  191    2   2350.1245      0.0589
  191    3   2718.5005      0.0630
  191    4   3078.0520      0.0440
  191    5   3412.8762      0.1499
  192    0   1397.9587      0.0053
  192    1   1937.2544      0.0283
  192    2   2354.8276      0.0543
  192    3   2723.6345      0.0575
  192    4   3084.1501      0.0506
  192    5   3419.6721      0.1429
  193    0   1401.5450      0.0050
  193    1   1941.0372      0.0214
  193    2   2359.5513      0.0805
  193    3   2728.8752      0.0713
  193    4   3090.0583      0.0444
  193    5   3426.1775      0.2105
  194    0   1405.1102      0.0052
  194    1   1944.8419      0.0300
  194    2   2364.2219      0.0805
  194    3   2734.0449      0.0655
  194    4   3095.9519      0.0477
  194    5   3433.0752      1.8282
  195    0   1408.6678      0.0052
  195    1   1948.5420      0.0286
  195    2   2368.8296      0.0489
  195    3   2739.1057      0.0651
  195    4   3101.9529      0.0561
  195    5   3439.8054      0.1001
  196    0   1412.2134      0.0050
  196    1   1952.2633      0.0322
  196    2   2373.4509      0.0663
  196    3   2744.3667      0.0628
  196    4   3107.8047      0.0565
  197    0   1415.7534      0.0049
  197    1   1955.9521      0.0294
  197    2   2378.0859      0.0907
  197    3   2749.5161      0.0640
  197    4   3113.7578      0.0472
  198    0   1419.2927      0.0053
  198    1   1959.6934      0.0306
  198    2   2382.6194      0.0850
  198    3   2754.5745      0.0795
  198    4   3119.6418      0.0549
  199    0   1422.8000      0.0066
  199    1   1963.3538      0.0256
  199    2   2387.2136      0.0933
  199    3   2759.7915      0.0849
  199    4   3125.4583      0.0556
  200    0   1426.3232      0.0053
  200    1   1967.0273      0.0293
  200    2   2391.8528      0.1081
  200    3   2764.8499      0.0682
  200    4   3131.1846      0.0702
  201    0   1429.8213      0.0057
  201    1   1970.6528      0.0337
  201    2   2396.4167      0.0705
  201    3   2770.0193      0.0660
  201    4   3137.0625      0.0658
  202    0   1433.3315      0.0056
  202    1   1974.3173      0.0376
  202    2   2401.0254      0.0889
  202    3   2775.1768      0.0802
  202    4   3142.8699      0.0783
  203    0   1436.7916      0.0053
  203    1   1977.8853      0.0318
  203    2   2405.4663      0.0688
  203    3   2780.2334      0.0828
  203    4   3148.6401      0.0892
  204    0   1440.2974      0.0050
  204    1   1981.5698      0.0394
  204    2   2410.0344      0.0945
  204    3   2785.2637      0.0823
  204    4   3154.3604      0.0891
  205    0   1443.7522      0.0052
  205    1   1985.1869      0.0338
  205    2   2414.5391      0.1142
  205    3   2790.2200      0.0715
  205    4   3160.1082      0.0804
  206    0   1447.2303      0.0054
  206    1   1988.7343      0.0385
  206    2   2418.9031      0.1036
  206    3   2795.4116      0.0575
  206    4   3165.7905      0.0994
  207    0   1450.6823      0.0059
